Task_ID,Part_Name,DEL_QTY,Node_ID Source,Lineside_Address,Lineside_Group,Outbound_Path,Return_Path,One_Way_Dist,Return_Dist,Round_Trip_Meters,Travel_Time_Secs,Service_Time_Secs,Total_Cycle_Secs
DASH PNL INSULATOR_1,DASH PNL INSULATOR,10,I_14,TR3,Trimline RH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> TR1 -> TR2 -> TR3,TR3 -> TR4 -> TR5 -> TR6 -> TR7 -> TR8 -> TR9 -> TR10 -> I_19 -> I_14,157.63,84.75,242.38,387.81,24,411.81
DASH PNL INSULATOR_2,DASH PNL INSULATOR,10,I_14,TR3,Trimline RH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> TR1 -> TR2 -> TR3,TR3 -> TR4 -> TR5 -> TR6 -> TR7 -> TR8 -> TR9 -> TR10 -> I_19 -> I_14,157.63,84.75,242.38,387.81,24,411.81
DASH PNL INSULATOR_3,DASH PNL INSULATOR,10,I_14,TR3,Trimline RH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> TR1 -> TR2 -> TR3,TR3 -> TR4 -> TR5 -> TR6 -> TR7 -> TR8 -> TR9 -> TR10 -> I_19 -> I_14,157.63,84.75,242.38,387.81,24,411.81
DASH PNL INSULATOR_4,DASH PNL INSULATOR,10,I_14,TR3,Trimline RH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> TR1 -> TR2 -> TR3,TR3 -> TR4 -> TR5 -> TR6 -> TR7 -> TR8 -> TR9 -> TR10 -> I_19 -> I_14,157.63,84.75,242.38,387.81,24,411.81
DASH PNL INSULATOR_5,DASH PNL INSULATOR,10,I_14,TR3,Trimline RH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> TR1 -> TR2 -> TR3,TR3 -> TR4 -> TR5 -> TR6 -> TR7 -> TR8 -> TR9 -> TR10 -> I_19 -> I_14,157.63,84.75,242.38,387.81,24,411.81
DASH PNL INSULATOR_6,DASH PNL INSULATOR,10,I_14,TR3,Trimline RH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> TR1 -> TR2 -> TR3,TR3 -> TR4 -> TR5 -> TR6 -> TR7 -> TR8 -> TR9 -> TR10 -> I_19 -> I_14,157.63,84.75,242.38,387.81,24,411.81
HEADLINING_1,HEADLINING,10,SML_Dr,TR5,Trimline RH,SML_Dr -> SML_St -> I_21 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> TR1 -> TR2 -> TR3 -> TR4 -> TR5,TR5 -> TR6 -> TR7 -> TR8 -> TR9 -> TR10 -> I_19 -> I_21 -> SML_St -> SML_Dr,201.82,106.86,308.68,493.89,24,517.89
HEADLINING_2,HEADLINING,10,SML_Dr,TR5,Trimline RH,SML_Dr -> SML_St -> I_21 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> TR1 -> TR2 -> TR3 -> TR4 -> TR5,TR5 -> TR6 -> TR7 -> TR8 -> TR9 -> TR10 -> I_19 -> I_21 -> SML_St -> SML_Dr,201.82,106.86,308.68,493.89,24,517.89
HEADLINING_3,HEADLINING,10,SML_Dr,TR5,Trimline RH,SML_Dr -> SML_St -> I_21 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> TR1 -> TR2 -> TR3 -> TR4 -> TR5,TR5 -> TR6 -> TR7 -> TR8 -> TR9 -> TR10 -> I_19 -> I_21 -> SML_St -> SML_Dr,201.82,106.86,308.68,493.89,24,517.89
HEADLINING_4,HEADLINING,10,SML_Dr,TR5,Trimline RH,SML_Dr -> SML_St -> I_21 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> TR1 -> TR2 -> TR3 -> TR4 -> TR5,TR5 -> TR6 -> TR7 -> TR8 -> TR9 -> TR10 -> I_19 -> I_21 -> SML_St -> SML_Dr,201.82,106.86,308.68,493.89,24,517.89
HEADLINING_5,HEADLINING,10,SML_Dr,TR5,Trimline RH,SML_Dr -> SML_St -> I_21 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> TR1 -> TR2 -> TR3 -> TR4 -> TR5,TR5 -> TR6 -> TR7 -> TR8 -> TR9 -> TR10 -> I_19 -> I_21 -> SML_St -> SML_Dr,201.82,106.86,308.68,493.89,24,517.89
HEADLINING_6,HEADLINING,10,SML_Dr,TR5,Trimline RH,SML_Dr -> SML_St -> I_21 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> TR1 -> TR2 -> TR3 -> TR4 -> TR5,TR5 -> TR6 -> TR7 -> TR8 -> TR9 -> TR10 -> I_19 -> I_21 -> SML_St -> SML_Dr,201.82,106.86,308.68,493.89,24,517.89
CYLINDER ASSY BRAKE MASTER_1,CYLINDER ASSY BRAKE MASTER,10,I_14,TL1,Trimline LH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> I_22 -> TL1,TL1 -> TL2 -> TL3 -> TL4 -> TL5 -> TL6 -> TL7 -> TL8 -> TL9 -> TL10 -> I_21 -> I_18 -> I_14,160.75,107.55,268.3,429.28,24,453.28
CYLINDER ASSY BRAKE MASTER_2,CYLINDER ASSY BRAKE MASTER,10,I_14,TL1,Trimline LH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> I_22 -> TL1,TL1 -> TL2 -> TL3 -> TL4 -> TL5 -> TL6 -> TL7 -> TL8 -> TL9 -> TL10 -> I_21 -> I_18 -> I_14,160.75,107.55,268.3,429.28,24,453.28
CYLINDER ASSY BRAKE MASTER_3,CYLINDER ASSY BRAKE MASTER,10,I_14,TL1,Trimline LH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> I_22 -> TL1,TL1 -> TL2 -> TL3 -> TL4 -> TL5 -> TL6 -> TL7 -> TL8 -> TL9 -> TL10 -> I_21 -> I_18 -> I_14,160.75,107.55,268.3,429.28,24,453.28
CYLINDER ASSY BRAKE MASTER_4,CYLINDER ASSY BRAKE MASTER,10,I_14,TL1,Trimline LH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> I_22 -> TL1,TL1 -> TL2 -> TL3 -> TL4 -> TL5 -> TL6 -> TL7 -> TL8 -> TL9 -> TL10 -> I_21 -> I_18 -> I_14,160.75,107.55,268.3,429.28,24,453.28
CYLINDER ASSY BRAKE MASTER_5,CYLINDER ASSY BRAKE MASTER,10,I_14,TL1,Trimline LH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> I_22 -> TL1,TL1 -> TL2 -> TL3 -> TL4 -> TL5 -> TL6 -> TL7 -> TL8 -> TL9 -> TL10 -> I_21 -> I_18 -> I_14,160.75,107.55,268.3,429.28,24,453.28
CYLINDER ASSY BRAKE MASTER_6,CYLINDER ASSY BRAKE MASTER,10,I_14,TL1,Trimline LH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> I_22 -> TL1,TL1 -> TL2 -> TL3 -> TL4 -> TL5 -> TL6 -> TL7 -> TL8 -> TL9 -> TL10 -> I_21 -> I_18 -> I_14,160.75,107.55,268.3,429.28,24,453.28
"PAD S/A, INST PNL SAFETY, LOWER_1","PAD S/A, INST PNL SAFETY, LOWER",10,I_14,TL4,Trimline LH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> I_22 -> TL1 -> TL2 -> TL3 -> TL4,TL4 -> TL5 -> TL6 -> TL7 -> TL8 -> TL9 -> TL10 -> I_21 -> I_18 -> I_14,177.3,91,268.3,429.28,24,453.28
"PAD S/A, INST PNL SAFETY, LOWER_2","PAD S/A, INST PNL SAFETY, LOWER",10,I_14,TL4,Trimline LH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> I_22 -> TL1 -> TL2 -> TL3 -> TL4,TL4 -> TL5 -> TL6 -> TL7 -> TL8 -> TL9 -> TL10 -> I_21 -> I_18 -> I_14,177.3,91,268.3,429.28,24,453.28
"PAD S/A, INST PNL SAFETY, LOWER_3","PAD S/A, INST PNL SAFETY, LOWER",10,I_14,TL4,Trimline LH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> I_22 -> TL1 -> TL2 -> TL3 -> TL4,TL4 -> TL5 -> TL6 -> TL7 -> TL8 -> TL9 -> TL10 -> I_21 -> I_18 -> I_14,177.3,91,268.3,429.28,24,453.28
"PAD S/A, INST PNL SAFETY, LOWER_4","PAD S/A, INST PNL SAFETY, LOWER",10,I_14,TL4,Trimline LH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> I_22 -> TL1 -> TL2 -> TL3 -> TL4,TL4 -> TL5 -> TL6 -> TL7 -> TL8 -> TL9 -> TL10 -> I_21 -> I_18 -> I_14,177.3,91,268.3,429.28,24,453.28
"PAD S/A, INST PNL SAFETY, LOWER_5","PAD S/A, INST PNL SAFETY, LOWER",10,I_14,TL4,Trimline LH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> I_22 -> TL1 -> TL2 -> TL3 -> TL4,TL4 -> TL5 -> TL6 -> TL7 -> TL8 -> TL9 -> TL10 -> I_21 -> I_18 -> I_14,177.3,91,268.3,429.28,24,453.28
"PAD S/A, INST PNL SAFETY, LOWER_6","PAD S/A, INST PNL SAFETY, LOWER",10,I_14,TL4,Trimline LH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> I_22 -> TL1 -> TL2 -> TL3 -> TL4,TL4 -> TL5 -> TL6 -> TL7 -> TL8 -> TL9 -> TL10 -> I_21 -> I_18 -> I_14,177.3,91,268.3,429.28,24,453.28
"REINFORCEMENT S/A, INS'T PNL_1","REINFORCEMENT S/A, INS'T PNL",10,I_14,TL6,Trimline LH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> I_22 -> TL1 -> TL2 -> TL3 -> TL4 -> TL5 -> TL6,TL6 -> TL7 -> TL8 -> TL9 -> TL10 -> I_21 -> I_18 -> I_14,188.33,79.97,268.3,429.28,24,453.28
"REINFORCEMENT S/A, INS'T PNL_2","REINFORCEMENT S/A, INS'T PNL",10,I_14,TL6,Trimline LH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> I_22 -> TL1 -> TL2 -> TL3 -> TL4 -> TL5 -> TL6,TL6 -> TL7 -> TL8 -> TL9 -> TL10 -> I_21 -> I_18 -> I_14,188.33,79.97,268.3,429.28,24,453.28
"REINFORCEMENT S/A, INS'T PNL_3","REINFORCEMENT S/A, INS'T PNL",10,I_14,TL6,Trimline LH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> I_22 -> TL1 -> TL2 -> TL3 -> TL4 -> TL5 -> TL6,TL6 -> TL7 -> TL8 -> TL9 -> TL10 -> I_21 -> I_18 -> I_14,188.33,79.97,268.3,429.28,24,453.28
"REINFORCEMENT S/A, INS'T PNL_4","REINFORCEMENT S/A, INS'T PNL",10,I_14,TL6,Trimline LH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> I_22 -> TL1 -> TL2 -> TL3 -> TL4 -> TL5 -> TL6,TL6 -> TL7 -> TL8 -> TL9 -> TL10 -> I_21 -> I_18 -> I_14,188.33,79.97,268.3,429.28,24,453.28
"REINFORCEMENT S/A, INS'T PNL_5","REINFORCEMENT S/A, INS'T PNL",10,I_14,TL6,Trimline LH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> I_22 -> TL1 -> TL2 -> TL3 -> TL4 -> TL5 -> TL6,TL6 -> TL7 -> TL8 -> TL9 -> TL10 -> I_21 -> I_18 -> I_14,188.33,79.97,268.3,429.28,24,453.28
"REINFORCEMENT S/A, INS'T PNL_6","REINFORCEMENT S/A, INS'T PNL",10,I_14,TL6,Trimline LH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> I_22 -> TL1 -> TL2 -> TL3 -> TL4 -> TL5 -> TL6,TL6 -> TL7 -> TL8 -> TL9 -> TL10 -> I_21 -> I_18 -> I_14,188.33,79.97,268.3,429.28,24,453.28
STEERING COLUMN_1,STEERING COLUMN,10,I_14,TL7,Trimline LH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> I_22 -> TL1 -> TL2 -> TL3 -> TL4 -> TL5 -> TL6 -> TL7,TL7 -> TL8 -> TL9 -> TL10 -> I_21 -> I_18 -> I_14,193.85,74.45,268.3,429.28,24,453.28
STEERING COLUMN_2,STEERING COLUMN,10,I_14,TL7,Trimline LH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> I_22 -> TL1 -> TL2 -> TL3 -> TL4 -> TL5 -> TL6 -> TL7,TL7 -> TL8 -> TL9 -> TL10 -> I_21 -> I_18 -> I_14,193.85,74.45,268.3,429.28,24,453.28
STEERING COLUMN_3,STEERING COLUMN,10,I_14,TL7,Trimline LH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> I_22 -> TL1 -> TL2 -> TL3 -> TL4 -> TL5 -> TL6 -> TL7,TL7 -> TL8 -> TL9 -> TL10 -> I_21 -> I_18 -> I_14,193.85,74.45,268.3,429.28,24,453.28
STEERING COLUMN_4,STEERING COLUMN,10,I_14,TL7,Trimline LH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> I_22 -> TL1 -> TL2 -> TL3 -> TL4 -> TL5 -> TL6 -> TL7,TL7 -> TL8 -> TL9 -> TL10 -> I_21 -> I_18 -> I_14,193.85,74.45,268.3,429.28,24,453.28
STEERING COLUMN_5,STEERING COLUMN,10,I_14,TL7,Trimline LH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> I_22 -> TL1 -> TL2 -> TL3 -> TL4 -> TL5 -> TL6 -> TL7,TL7 -> TL8 -> TL9 -> TL10 -> I_21 -> I_18 -> I_14,193.85,74.45,268.3,429.28,24,453.28
STEERING COLUMN_6,STEERING COLUMN,10,I_14,TL7,Trimline LH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> I_22 -> TL1 -> TL2 -> TL3 -> TL4 -> TL5 -> TL6 -> TL7,TL7 -> TL8 -> TL9 -> TL10 -> I_21 -> I_18 -> I_14,193.85,74.45,268.3,429.28,24,453.28
"PAD S/A, INS'T PNL SAFETY, UPPER_1","PAD S/A, INS'T PNL SAFETY, UPPER",10,I_14,TL8,Trimline LH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> I_22 -> TL1 -> TL2 -> TL3 -> TL4 -> TL5 -> TL6 -> TL7 -> TL8,TL8 -> TL9 -> TL10 -> I_21 -> I_18 -> I_14,199.37,68.93,268.3,429.28,24,453.28
"PAD S/A, INS'T PNL SAFETY, UPPER_2","PAD S/A, INS'T PNL SAFETY, UPPER",10,I_14,TL8,Trimline LH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> I_22 -> TL1 -> TL2 -> TL3 -> TL4 -> TL5 -> TL6 -> TL7 -> TL8,TL8 -> TL9 -> TL10 -> I_21 -> I_18 -> I_14,199.37,68.93,268.3,429.28,24,453.28
"PAD S/A, INS'T PNL SAFETY, UPPER_3","PAD S/A, INS'T PNL SAFETY, UPPER",10,I_14,TL8,Trimline LH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> I_22 -> TL1 -> TL2 -> TL3 -> TL4 -> TL5 -> TL6 -> TL7 -> TL8,TL8 -> TL9 -> TL10 -> I_21 -> I_18 -> I_14,199.37,68.93,268.3,429.28,24,453.28
"PAD S/A, INS'T PNL SAFETY, UPPER_4","PAD S/A, INS'T PNL SAFETY, UPPER",10,I_14,TL8,Trimline LH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> I_22 -> TL1 -> TL2 -> TL3 -> TL4 -> TL5 -> TL6 -> TL7 -> TL8,TL8 -> TL9 -> TL10 -> I_21 -> I_18 -> I_14,199.37,68.93,268.3,429.28,24,453.28
"PAD S/A, INS'T PNL SAFETY, UPPER_5","PAD S/A, INS'T PNL SAFETY, UPPER",10,I_14,TL8,Trimline LH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> I_22 -> TL1 -> TL2 -> TL3 -> TL4 -> TL5 -> TL6 -> TL7 -> TL8,TL8 -> TL9 -> TL10 -> I_21 -> I_18 -> I_14,199.37,68.93,268.3,429.28,24,453.28
"PAD S/A, INS'T PNL SAFETY, UPPER_6","PAD S/A, INS'T PNL SAFETY, UPPER",10,I_14,TL8,Trimline LH,I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> I_22 -> TL1 -> TL2 -> TL3 -> TL4 -> TL5 -> TL6 -> TL7 -> TL8,TL8 -> TL9 -> TL10 -> I_21 -> I_18 -> I_14,199.37,68.93,268.3,429.28,24,453.28
"AXLE ASSY, FR LH_1","AXLE ASSY, FR LH",10,I_14,CL2,Chassis LH,I_14 -> I_15 -> EG_L1 -> EG_L2 -> EG_L3 -> CL1 -> CL2,CL2 -> CL3 -> CL4 -> CL5 -> CL6 -> CL7 -> I_16 -> I_20 -> TR1 -> TR2 -> TR3 -> TR4 -> TR5 -> TR6 -> TR7 -> TR8 -> TR9 -> TR10 -> I_19 -> I_14,53.31,195.58,248.89,398.22,24,422.22
"AXLE ASSY, FR LH_2","AXLE ASSY, FR LH",10,I_14,CL2,Chassis LH,I_14 -> I_15 -> EG_L1 -> EG_L2 -> EG_L3 -> CL1 -> CL2,CL2 -> CL3 -> CL4 -> CL5 -> CL6 -> CL7 -> I_16 -> I_20 -> TR1 -> TR2 -> TR3 -> TR4 -> TR5 -> TR6 -> TR7 -> TR8 -> TR9 -> TR10 -> I_19 -> I_14,53.31,195.58,248.89,398.22,24,422.22
"AXLE ASSY, FR LH_3","AXLE ASSY, FR LH",10,I_14,CL2,Chassis LH,I_14 -> I_15 -> EG_L1 -> EG_L2 -> EG_L3 -> CL1 -> CL2,CL2 -> CL3 -> CL4 -> CL5 -> CL6 -> CL7 -> I_16 -> I_20 -> TR1 -> TR2 -> TR3 -> TR4 -> TR5 -> TR6 -> TR7 -> TR8 -> TR9 -> TR10 -> I_19 -> I_14,53.31,195.58,248.89,398.22,24,422.22
"AXLE ASSY, FR LH_4","AXLE ASSY, FR LH",10,I_14,CL2,Chassis LH,I_14 -> I_15 -> EG_L1 -> EG_L2 -> EG_L3 -> CL1 -> CL2,CL2 -> CL3 -> CL4 -> CL5 -> CL6 -> CL7 -> I_16 -> I_20 -> TR1 -> TR2 -> TR3 -> TR4 -> TR5 -> TR6 -> TR7 -> TR8 -> TR9 -> TR10 -> I_19 -> I_14,53.31,195.58,248.89,398.22,24,422.22
"AXLE ASSY, FR LH_5","AXLE ASSY, FR LH",10,I_14,CL2,Chassis LH,I_14 -> I_15 -> EG_L1 -> EG_L2 -> EG_L3 -> CL1 -> CL2,CL2 -> CL3 -> CL4 -> CL5 -> CL6 -> CL7 -> I_16 -> I_20 -> TR1 -> TR2 -> TR3 -> TR4 -> TR5 -> TR6 -> TR7 -> TR8 -> TR9 -> TR10 -> I_19 -> I_14,53.31,195.58,248.89,398.22,24,422.22
"AXLE ASSY, FR LH_6","AXLE ASSY, FR LH",10,I_14,CL2,Chassis LH,I_14 -> I_15 -> EG_L1 -> EG_L2 -> EG_L3 -> CL1 -> CL2,CL2 -> CL3 -> CL4 -> CL5 -> CL6 -> CL7 -> I_16 -> I_20 -> TR1 -> TR2 -> TR3 -> TR4 -> TR5 -> TR6 -> TR7 -> TR8 -> TR9 -> TR10 -> I_19 -> I_14,53.31,195.58,248.89,398.22,24,422.22
