Trip_ID,Lineside_Group,Dolly_Count,Parts_Delivered,Task_IDs,Furthest_Address,Routing_Path,Unified_Travel_Secs,Total_Service_Secs,Total_Cycle_Secs
TRIP_001,AC_Bldg,2,"SIDE SKIRT ( PAINTED ), RADIO PARTS","RADIO PARTS_1, SIDE SKIRT ( PAINTED )_1",AC_B,SML_Dr -> I_26 -> I_27 -> AC_B,603.52,48,651.52
TRIP_002,AC_Bldg,2,"SIDE SKIRT ( PAINTED ), RADIO PARTS","RADIO PARTS_2, SIDE SKIRT ( PAINTED )_2",AC_B,SML_Dr -> I_26 -> I_27 -> AC_B,603.52,48,651.52
TRIP_003,AC_Bldg,2,"SIDE SKIRT ( PAINTED ), RADIO PARTS","RADIO PARTS_3, SIDE SKIRT ( PAINTED )_3",AC_B,SML_Dr -> I_26 -> I_27 -> AC_B,603.52,48,651.52
TRIP_004,AC_Bldg,2,"SIDE SKIRT ( PAINTED ), RADIO PARTS","RADIO PARTS_4, SIDE SKIRT ( PAINTED )_4",AC_B,SML_Dr -> I_26 -> I_27 -> AC_B,603.52,48,651.52
TRIP_005,AC_Bldg,2,"SIDE SKIRT ( PAINTED ), RADIO PARTS","RADIO PARTS_5, SIDE SKIRT ( PAINTED )_5",AC_B,SML_Dr -> I_26 -> I_27 -> AC_B,603.52,48,651.52
TRIP_006,Chassis LH,3,"BEAM S/A, ABSORBER ASSY, SHOCK FR LH, AXLE ASSY, FR LH","ABSORBER ASSY, SHOCK FR LH_1, AXLE ASSY, FR LH_1, BEAM S/A_1",CL5,I_14 -> I_15 -> EG_L1 -> EG_L2 -> EG_L3 -> CL1 -> CL2 -> CL3 -> CL4 -> CL5,223.55,72,295.55
TRIP_007,Chassis LH,3,"BEAM S/A, ABSORBER ASSY, SHOCK FR LH, AXLE ASSY, FR LH","ABSORBER ASSY, SHOCK FR LH_2, AXLE ASSY, FR LH_2, BEAM S/A_2",CL5,I_14 -> I_15 -> EG_L1 -> EG_L2 -> EG_L3 -> CL1 -> CL2 -> CL3 -> CL4 -> CL5,223.55,72,295.55
TRIP_008,Chassis LH,3,"BEAM S/A, ABSORBER ASSY, SHOCK FR LH, AXLE ASSY, FR LH","ABSORBER ASSY, SHOCK FR LH_3, AXLE ASSY, FR LH_3, BEAM S/A_3",CL5,I_14 -> I_15 -> EG_L1 -> EG_L2 -> EG_L3 -> CL1 -> CL2 -> CL3 -> CL4 -> CL5,223.55,72,295.55
TRIP_009,Chassis LH,3,"BEAM S/A, ABSORBER ASSY, SHOCK FR LH, AXLE ASSY, FR LH","ABSORBER ASSY, SHOCK FR LH_4, AXLE ASSY, FR LH_4, BEAM S/A_4",CL5,I_14 -> I_15 -> EG_L1 -> EG_L2 -> EG_L3 -> CL1 -> CL2 -> CL3 -> CL4 -> CL5,223.55,72,295.55
TRIP_010,Chassis LH,3,"BEAM S/A, ABSORBER ASSY, SHOCK FR LH, AXLE ASSY, FR LH","ABSORBER ASSY, SHOCK FR LH_5, AXLE ASSY, FR LH_5, BEAM S/A_5",CL5,I_14 -> I_15 -> EG_L1 -> EG_L2 -> EG_L3 -> CL1 -> CL2 -> CL3 -> CL4 -> CL5,223.55,72,295.55
TRIP_011,Chassis LH,3,"CHASSIS LH 1 - 9 , ENGINE 1 - 3, COIL SPRING FR/RR LH, FLOOR TUBES","CHASSIS LH 1 - 9 , ENGINE 1 - 3_1, COIL SPRING FR/RR LH_1, FLOOR TUBES_1",CL4,Bulky_2 -> I_17 -> I_18 -> I_15 -> EG_L1 -> EG_L2 -> EG_L3 -> CL1 -> CL2 -> CL3 -> CL4,361.86,128,489.86
TRIP_012,Chassis LH,3,"CHASSIS LH 1 - 9 , ENGINE 1 - 3, COIL SPRING FR/RR LH, FLOOR TUBES","CHASSIS LH 1 - 9 , ENGINE 1 - 3_2, COIL SPRING FR/RR LH_2, FLOOR TUBES_2",CL4,Bulky_2 -> I_17 -> I_18 -> I_15 -> EG_L1 -> EG_L2 -> EG_L3 -> CL1 -> CL2 -> CL3 -> CL4,361.86,128,489.86
TRIP_013,Chassis LH,3,"CHASSIS LH 1 - 9 , ENGINE 1 - 3, COIL SPRING FR/RR LH, FLOOR TUBES","CHASSIS LH 1 - 9 , ENGINE 1 - 3_3, COIL SPRING FR/RR LH_3, FLOOR TUBES_3",CL4,Bulky_2 -> I_17 -> I_18 -> I_15 -> EG_L1 -> EG_L2 -> EG_L3 -> CL1 -> CL2 -> CL3 -> CL4,361.86,128,489.86
TRIP_014,Chassis LH,3,"CHASSIS LH 1 - 9 , ENGINE 1 - 3, COIL SPRING FR/RR LH, FLOOR TUBES","CHASSIS LH 1 - 9 , ENGINE 1 - 3_4, COIL SPRING FR/RR LH_4, FLOOR TUBES_4",CL4,Bulky_2 -> I_17 -> I_18 -> I_15 -> EG_L1 -> EG_L2 -> EG_L3 -> CL1 -> CL2 -> CL3 -> CL4,361.86,128,489.86
TRIP_015,Chassis LH,3,"CHASSIS LH 1 - 9 , ENGINE 1 - 3, COIL SPRING FR/RR LH, FLOOR TUBES","CHASSIS LH 1 - 9 , ENGINE 1 - 3_5, COIL SPRING FR/RR LH_5, FLOOR TUBES_5",CL4,Bulky_2 -> I_17 -> I_18 -> I_15 -> EG_L1 -> EG_L2 -> EG_L3 -> CL1 -> CL2 -> CL3 -> CL4,361.86,128,489.86
TRIP_016,Chassis LH,3,"STEERING LINK, LOWER ARM, RR SUSP'N AND STABILIZER BAR","LOWER ARM_1, RR SUSP'N AND STABILIZER BAR_1, STEERING LINK_1",CL7,I_14 -> I_15 -> EG_L1 -> EG_L2 -> EG_L3 -> CL1 -> CL2 -> CL3 -> CL4 -> CL5 -> CL6 -> CL7,258.85,72,330.85
TRIP_017,Chassis LH,3,"STEERING LINK, LOWER ARM, RR SUSP'N AND STABILIZER BAR","LOWER ARM_2, RR SUSP'N AND STABILIZER BAR_2, STEERING LINK_2",CL7,I_14 -> I_15 -> EG_L1 -> EG_L2 -> EG_L3 -> CL1 -> CL2 -> CL3 -> CL4 -> CL5 -> CL6 -> CL7,258.85,72,330.85
TRIP_018,Chassis LH,3,"STEERING LINK, LOWER ARM, RR SUSP'N AND STABILIZER BAR","LOWER ARM_3, RR SUSP'N AND STABILIZER BAR_3, STEERING LINK_3",CL7,I_14 -> I_15 -> EG_L1 -> EG_L2 -> EG_L3 -> CL1 -> CL2 -> CL3 -> CL4 -> CL5 -> CL6 -> CL7,258.85,72,330.85
TRIP_019,Chassis LH,3,"STEERING LINK, LOWER ARM, RR SUSP'N AND STABILIZER BAR","LOWER ARM_4, RR SUSP'N AND STABILIZER BAR_4, STEERING LINK_4",CL7,I_14 -> I_15 -> EG_L1 -> EG_L2 -> EG_L3 -> CL1 -> CL2 -> CL3 -> CL4 -> CL5 -> CL6 -> CL7,258.85,72,330.85
TRIP_020,Chassis LH,3,"STEERING LINK, LOWER ARM, RR SUSP'N AND STABILIZER BAR","LOWER ARM_5, RR SUSP'N AND STABILIZER BAR_5, STEERING LINK_5",CL7,I_14 -> I_15 -> EG_L1 -> EG_L2 -> EG_L3 -> CL1 -> CL2 -> CL3 -> CL4 -> CL5 -> CL6 -> CL7,258.85,72,330.85
TRIP_021,Chassis LH,1,SUB - FRAME FR,SUB - FRAME FR_1,CL7,I_14 -> I_15 -> EG_L1 -> EG_L2 -> EG_L3 -> CL1 -> CL2 -> CL3 -> CL4 -> CL5 -> CL6 -> CL7,258.85,24,282.85
TRIP_022,Chassis LH,1,SUB - FRAME FR,SUB - FRAME FR_2,CL7,I_14 -> I_15 -> EG_L1 -> EG_L2 -> EG_L3 -> CL1 -> CL2 -> CL3 -> CL4 -> CL5 -> CL6 -> CL7,258.85,24,282.85
TRIP_023,Chassis LH,1,SUB - FRAME FR,SUB - FRAME FR_3,CL7,I_14 -> I_15 -> EG_L1 -> EG_L2 -> EG_L3 -> CL1 -> CL2 -> CL3 -> CL4 -> CL5 -> CL6 -> CL7,258.85,24,282.85
TRIP_024,Chassis LH,1,SUB - FRAME FR,SUB - FRAME FR_4,CL7,I_14 -> I_15 -> EG_L1 -> EG_L2 -> EG_L3 -> CL1 -> CL2 -> CL3 -> CL4 -> CL5 -> CL6 -> CL7,258.85,24,282.85
TRIP_025,Chassis LH,1,SUB - FRAME FR,SUB - FRAME FR_5,CL7,I_14 -> I_15 -> EG_L1 -> EG_L2 -> EG_L3 -> CL1 -> CL2 -> CL3 -> CL4 -> CL5 -> CL6 -> CL7,258.85,24,282.85
TRIP_026,Chassis RH,3,"AXLE ASSY, FR RH, CHASSIS RH 1 -9, ABSORBER ASSY, SHOCK FR RH","ABSORBER ASSY, SHOCK FR RH_1, AXLE ASSY, FR RH_1, CHASSIS RH 1 -9_1",CR5,SML_St -> I_21 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5,287.42,128,415.42
TRIP_027,Chassis RH,3,"AXLE ASSY, FR RH, CHASSIS RH 1 -9, ABSORBER ASSY, SHOCK FR RH","ABSORBER ASSY, SHOCK FR RH_2, AXLE ASSY, FR RH_2, CHASSIS RH 1 -9_2",CR5,SML_St -> I_21 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5,287.42,128,415.42
TRIP_028,Chassis RH,3,"AXLE ASSY, FR RH, CHASSIS RH 1 -9, ABSORBER ASSY, SHOCK FR RH","ABSORBER ASSY, SHOCK FR RH_3, AXLE ASSY, FR RH_3, CHASSIS RH 1 -9_3",CR5,SML_St -> I_21 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5,287.42,128,415.42
TRIP_029,Chassis RH,3,"AXLE ASSY, FR RH, CHASSIS RH 1 -9, ABSORBER ASSY, SHOCK FR RH","ABSORBER ASSY, SHOCK FR RH_4, AXLE ASSY, FR RH_4, CHASSIS RH 1 -9_4",CR5,SML_St -> I_21 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5,287.42,128,415.42
TRIP_030,Chassis RH,3,"AXLE ASSY, FR RH, CHASSIS RH 1 -9, ABSORBER ASSY, SHOCK FR RH","ABSORBER ASSY, SHOCK FR RH_5, AXLE ASSY, FR RH_5, CHASSIS RH 1 -9_5",CR5,SML_St -> I_21 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5,287.42,128,415.42
TRIP_031,Chassis RH,3,"EXHAUST PIPE, FUEL TANK, COIL SPRING FR/RR RH","COIL SPRING FR/RR RH_1, EXHAUST PIPE_1, FUEL TANK_1",CR7,Bulky_2 -> I_17 -> I_13 -> I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7,444.96,72,516.96
TRIP_032,Chassis RH,3,"EXHAUST PIPE, FUEL TANK, COIL SPRING FR/RR RH","COIL SPRING FR/RR RH_2, EXHAUST PIPE_2, FUEL TANK_2",CR7,Bulky_2 -> I_17 -> I_13 -> I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7,444.96,72,516.96
TRIP_033,Chassis RH,3,"EXHAUST PIPE, FUEL TANK, COIL SPRING FR/RR RH","COIL SPRING FR/RR RH_3, EXHAUST PIPE_3, FUEL TANK_3",CR7,Bulky_2 -> I_17 -> I_13 -> I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7,444.96,72,516.96
TRIP_034,Chassis RH,3,"EXHAUST PIPE, FUEL TANK, COIL SPRING FR/RR RH","COIL SPRING FR/RR RH_4, EXHAUST PIPE_4, FUEL TANK_4",CR7,Bulky_2 -> I_17 -> I_13 -> I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7,444.96,72,516.96
TRIP_035,Chassis RH,3,"EXHAUST PIPE, FUEL TANK, COIL SPRING FR/RR RH","COIL SPRING FR/RR RH_5, EXHAUST PIPE_5, FUEL TANK_5",CR7,Bulky_2 -> I_17 -> I_13 -> I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7,444.96,72,516.96
TRIP_036,Engine RH,2,"TRIM - 2 RH 1 - 3, DRIVE SHAFT","DRIVE SHAFT_1, TRIM - 2 RH 1 - 3_1",EG_R1,SML_St -> I_21 -> I_19 -> EG_R1,163.84,104,267.84
TRIP_037,Engine RH,2,"TRIM - 2 RH 1 - 3, DRIVE SHAFT","DRIVE SHAFT_2, TRIM - 2 RH 1 - 3_2",EG_R1,SML_St -> I_21 -> I_19 -> EG_R1,163.84,104,267.84
TRIP_038,Engine RH,2,"TRIM - 2 RH 1 - 3, DRIVE SHAFT","DRIVE SHAFT_3, TRIM - 2 RH 1 - 3_3",EG_R1,SML_St -> I_21 -> I_19 -> EG_R1,163.84,104,267.84
TRIP_039,Engine RH,2,"TRIM - 2 RH 1 - 3, DRIVE SHAFT","DRIVE SHAFT_4, TRIM - 2 RH 1 - 3_4",EG_R1,SML_St -> I_21 -> I_19 -> EG_R1,163.84,104,267.84
TRIP_040,Engine RH,2,"TRIM - 2 RH 1 - 3, DRIVE SHAFT","DRIVE SHAFT_5, TRIM - 2 RH 1 - 3_5",EG_R1,SML_St -> I_21 -> I_19 -> EG_R1,163.84,104,267.84
TRIP_041,Final LH,3,"BCK WNDW GLASS W/ and W/O ANT., FINAL LH 1 - 3, BATTERY","BATTERY_1, BCK WNDW GLASS W/ and W/O ANT._1, FINAL LH 1 - 3_1",FL3,Bulky_1 -> SML_Dr -> I_26 -> I_27 -> I_25 -> FL1 -> FL2 -> FL3,649.38,128,777.38
TRIP_042,Final LH,3,"BCK WNDW GLASS W/ and W/O ANT., FINAL LH 1 - 3, BATTERY","BATTERY_2, BCK WNDW GLASS W/ and W/O ANT._2, FINAL LH 1 - 3_2",FL3,Bulky_1 -> SML_Dr -> I_26 -> I_27 -> I_25 -> FL1 -> FL2 -> FL3,649.38,128,777.38
TRIP_043,Final LH,3,"BCK WNDW GLASS W/ and W/O ANT., FINAL LH 1 - 3, BATTERY","BATTERY_3, BCK WNDW GLASS W/ and W/O ANT._3, FINAL LH 1 - 3_3",FL3,Bulky_1 -> SML_Dr -> I_26 -> I_27 -> I_25 -> FL1 -> FL2 -> FL3,649.38,128,777.38
TRIP_044,Final LH,3,"FINAL LH 1 - 3, FINAL LH 4 - 8, BATTERY","BATTERY_4, FINAL LH 1 - 3_4, FINAL LH 4 - 8_1",FL3,Bulky_1 -> SML_Dr -> I_26 -> I_27 -> I_25 -> FL1 -> FL2 -> FL3,649.38,184,833.38
TRIP_045,Final LH,3,"FINAL LH 1 - 3, FINAL LH 4 - 8, BATTERY","BATTERY_5, FINAL LH 1 - 3_5, FINAL LH 4 - 8_2",FL3,Bulky_1 -> SML_Dr -> I_26 -> I_27 -> I_25 -> FL1 -> FL2 -> FL3,649.38,184,833.38
TRIP_046,Final LH,3,"SEAT ASSY, FINAL LH 4 - 8, LUGGAGE MAT","FINAL LH 4 - 8_3, LUGGAGE MAT_1, SEAT ASSY_1",FL6,Bulky_2 -> Bulky_1 -> SML_Dr -> I_26 -> I_27 -> I_25 -> FL1 -> FL2 -> FL3 -> FL4 -> FL5 -> FL6,783.58,128,911.58
TRIP_047,Final LH,3,"SEAT ASSY, FINAL LH 4 - 8, LUGGAGE MAT","FINAL LH 4 - 8_4, LUGGAGE MAT_2, SEAT ASSY_10",FL6,Bulky_2 -> Bulky_1 -> SML_Dr -> I_26 -> I_27 -> I_25 -> FL1 -> FL2 -> FL3 -> FL4 -> FL5 -> FL6,783.58,128,911.58
TRIP_048,Final LH,3,"SEAT ASSY, FINAL LH 4 - 8, LUGGAGE MAT","FINAL LH 4 - 8_5, LUGGAGE MAT_3, SEAT ASSY_11",FL6,Bulky_2 -> Bulky_1 -> SML_Dr -> I_26 -> I_27 -> I_25 -> FL1 -> FL2 -> FL3 -> FL4 -> FL5 -> FL6,783.58,128,911.58
TRIP_049,Final LH,3,"SEAT ASSY, SPARE WHEEL COVER, LUGGAGE MAT","LUGGAGE MAT_4, SEAT ASSY_12, SPARE WHEEL COVER_1",FL6,Bulky_2 -> Bulky_1 -> SML_Dr -> I_26 -> I_27 -> I_25 -> FL1 -> FL2 -> FL3 -> FL4 -> FL5 -> FL6,783.58,72,855.58
TRIP_050,Final LH,3,"SEAT ASSY, SPARE WHEEL COVER, LUGGAGE MAT","LUGGAGE MAT_5, SEAT ASSY_13, SPARE WHEEL COVER_2",FL6,Bulky_2 -> Bulky_1 -> SML_Dr -> I_26 -> I_27 -> I_25 -> FL1 -> FL2 -> FL3 -> FL4 -> FL5 -> FL6,783.58,72,855.58
TRIP_051,Final LH,3,"SEAT ASSY, SPARE WHEEL COVER, WINDSHIELD GLASS","SEAT ASSY_14, SPARE WHEEL COVER_3, WINDSHIELD GLASS_1",FL6,Bulky_2 -> Bulky_1 -> SML_Dr -> I_26 -> I_27 -> I_25 -> FL1 -> FL2 -> FL3 -> FL4 -> FL5 -> FL6,783.58,72,855.58
TRIP_052,Final LH,3,"SEAT ASSY, SPARE WHEEL COVER, WINDSHIELD GLASS","SEAT ASSY_15, SPARE WHEEL COVER_4, WINDSHIELD GLASS_2",FL6,Bulky_2 -> Bulky_1 -> SML_Dr -> I_26 -> I_27 -> I_25 -> FL1 -> FL2 -> FL3 -> FL4 -> FL5 -> FL6,783.58,72,855.58
TRIP_053,Final LH,2,"SEAT ASSY, SPARE WHEEL COVER","SEAT ASSY_2, SPARE WHEEL COVER_5",FL6,Bulky_2 -> Bulky_1 -> SML_Dr -> I_26 -> I_27 -> I_25 -> FL1 -> FL2 -> FL3 -> FL4 -> FL5 -> FL6,783.58,48,831.58
TRIP_054,Final LH,1,SEAT ASSY,SEAT ASSY_3,FL6,Bulky_2 -> Bulky_1 -> SML_Dr -> I_26 -> I_27 -> I_25 -> FL1 -> FL2 -> FL3 -> FL4 -> FL5 -> FL6,783.58,24,807.58
TRIP_055,Final LH,1,SEAT ASSY,SEAT ASSY_4,FL6,Bulky_2 -> Bulky_1 -> SML_Dr -> I_26 -> I_27 -> I_25 -> FL1 -> FL2 -> FL3 -> FL4 -> FL5 -> FL6,783.58,24,807.58
TRIP_056,Final LH,1,SEAT ASSY,SEAT ASSY_5,FL6,Bulky_2 -> Bulky_1 -> SML_Dr -> I_26 -> I_27 -> I_25 -> FL1 -> FL2 -> FL3 -> FL4 -> FL5 -> FL6,783.58,24,807.58
TRIP_057,Final LH,1,SEAT ASSY,SEAT ASSY_6,FL6,Bulky_2 -> Bulky_1 -> SML_Dr -> I_26 -> I_27 -> I_25 -> FL1 -> FL2 -> FL3 -> FL4 -> FL5 -> FL6,783.58,24,807.58
TRIP_058,Final LH,1,SEAT ASSY,SEAT ASSY_7,FL6,Bulky_2 -> Bulky_1 -> SML_Dr -> I_26 -> I_27 -> I_25 -> FL1 -> FL2 -> FL3 -> FL4 -> FL5 -> FL6,783.58,24,807.58
TRIP_059,Final LH,1,SEAT ASSY,SEAT ASSY_8,FL6,Bulky_2 -> Bulky_1 -> SML_Dr -> I_26 -> I_27 -> I_25 -> FL1 -> FL2 -> FL3 -> FL4 -> FL5 -> FL6,783.58,24,807.58
TRIP_060,Final LH,1,SEAT ASSY,SEAT ASSY_9,FL6,Bulky_2 -> Bulky_1 -> SML_Dr -> I_26 -> I_27 -> I_25 -> FL1 -> FL2 -> FL3 -> FL4 -> FL5 -> FL6,783.58,24,807.58
TRIP_061,Final RH,3,"SPARE WHEEL, FINAL RH 4 - 8, FINAL RH 1 - 3","FINAL RH 1 - 3_1, FINAL RH 4 - 8_1, SPARE WHEEL_1",FR2,Bulky_2 -> I_17 -> I_13 -> I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> I_22 -> FR1 -> FR2,702.88,184,886.88
